,name,income,expend
50401,Overdale,497859.0,548529.0
59146,Dar Al-Islam Foundation,496948.0,510075.0
42478,Ibad-Ur-Rahman Trust,495117.0,165697.0
113195,Yetev Lev London Jerusalem Trust,494487.0,481392.0
26554,Bromley 'Y',494223.0,593370.0
97748,Thorpe Edge Community Project,491304.0,446982.0
110406,St Philip's Centre,491287.0,474377.0
88126,Fresh Expressions Limited,491005.0,518204.0
85865,Federation of Patidar Associations,490433.0,409009.0
125178,Ezer Bekovoid Limited,490425.0,477382.0
58406,Limoges Charitable Trust,489982.0,110014.0
98294,Great Lakes Outreach,489385.0,483162.0
37748,Friends of Sanz Institutions,488870.0,498527.0
11775,Trustees of St Augustine Abbey Ramsgate,488543.0,285763.0
37048,Madina-Tul-Uloom Al Islamiya,487993.0,466105.0
106533,Y G S Yeshiva Gedola Seminar,487259.0,477912.0
28864,Toldos Yaakov Yosef Institutions Trust,486340.0,464222.0
58232,The Kepplewray Trust,485999.0,385700.0
78355,The Strettons Mayfair Trust,485461.0,498503.0
75148,Praise Chapel,485212.0,619955.0
104608,Centres for Seafarers,484335.0,515074.0
44534,Mount Pleasant Islamic Trust,483919.0,502404.0
61911,Guru Nanak Satsang Sabha (Karmsar) UK,483888.0,474352.0
113795,New Life Christian Centre (Wakefield),483231.0,416096.0
105122,Ackers Adventure,481360.0,471996.0
95967,The Community of the Franciscan Friars of the Renewal,479109.0,411976.0
76503,Forward in Faith,478515.0,378503.0
101437,Cfi Charitable Trust,477932.0,491322.0
21281,European Outreach Trust,475096.0,456043.0
29014,Jamia Islamia Ghousia,474882.0,385433.0
67143,Families Relief,474718.0,434070.0
77412,Fellowship Afloat Charitable Trust,473857.0,458028.0
10037,The Farmington Trust Limited,472758.0,489526.0
77172,Islamic Cultural and Educational Association,472479.0,339263.0
23301,Tegham Limited,472444.0,222989.0
2656,The Divine Healing Mission,471599.0,509634.0
95094,Keren Nissuin (Mislonim),471365.0,504269.0
87255,The Hope Foundation Limited,471032.0,465849.0
132967,Igo Foundation Limited,469006.0,25114.0
97889,The Grain House Trust,465090.0,419926.0
25317,Collier Row Fellowship Trust,463681.0,486963.0
76831,Dove Cottage Day Hospice,461872.0,462352.0
20588,The Ramgarhia Board (Northamptonshire) Northampton,461761.0,498599.0
